cohort,model,score_scale,bin_lower,bin_upper,rows,mean_score,observed_positive_rate
external_seed303,asset_holdout_study_60_assets,raw,0.6,0.7,24,0.6524928341343706,0.6666666666666666
external_seed303,asset_holdout_study_60_assets,raw,0.7,0.8,32,0.7607529034081615,0.75
external_seed303,asset_holdout_study_60_assets,raw,0.8,0.9,64,0.8620060637239431,0.828125
external_seed303,asset_holdout_study_60_assets,raw,0.9,1.0,441,0.9751695420403712,0.9433106575963719
external_seed303,asset_holdout_study_60_assets,calibrated,0.0,0.1,3395,0.017804963910599544,0.014727540500736377
external_seed303,asset_holdout_study_60_assets,calibrated,0.1,0.2,466,0.1519420993871921,0.06223175965665236
external_seed303,asset_holdout_study_60_assets,calibrated,0.2,0.3,212,0.24371550668306594,0.1509433962264151
external_seed303,asset_holdout_study_60_assets,calibrated,0.3,0.4,87,0.34220612637116726,0.22988505747126436
external_seed303,asset_holdout_study_60_assets,calibrated,0.4,0.5,71,0.44354665988134023,0.30985915492957744
external_seed303,asset_holdout_study_60_assets,calibrated,0.5,0.6,39,0.5491748978146443,0.48717948717948717
external_seed303,asset_holdout_study_60_assets,calibrated,0.6,0.7,37,0.6470839646093272,0.5675675675675675
external_seed303,asset_holdout_study_60_assets,calibrated,0.7,0.8,33,0.7583237929107054,0.6363636363636364
external_seed303,asset_holdout_study_60_assets,calibrated,0.8,0.9,57,0.8581715830457086,0.7894736842105263
external_seed303,asset_holdout_study_60_assets,calibrated,0.9,1.0,483,0.972098418978517,0.9337474120082816
