policy,asset_id,asset_type,site,event_count,caught_failures,missed_failures,service_visits,carry_in_visits,unnecessary_services,unsuccessful_services,planned_downtime_hours,unplanned_downtime_hours,total_downtime_hours,emergency_repair_cost_cad,planned_service_cost_cad,downtime_cost_cad,total_cost_cad
reactive,AB-027,pipeline_pump,Red Deer,1,0,1,0,0,0,0,0,107.4,107.4,29211.22,0,102030.0,131241.22
reactive,AB-028,pumpjack,Lloydminster,1,0,1,0,0,0,0,0,47.1,47.1,21826.38,0,30615.0,52441.380000000005
reactive,AB-029,compressor,Peace River,1,0,1,0,0,0,0,0,59.9,59.9,61334.12,0,83860.0,145194.12
reactive,AB-030,pipeline_pump,Grande Prairie,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
reactive,AB-031,pumpjack,Red Deer,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
reactive,AB-032,compressor,Lloydminster,1,0,1,0,0,0,0,0,66.0,66.0,44145.34,0,92400.0,136545.34
reactive,AB-033,pipeline_pump,Peace River,1,0,1,0,0,0,0,0,103.3,103.3,29886.28,0,98135.0,128021.28
reactive,AB-034,pumpjack,Grande Prairie,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
reactive,AB-035,compressor,Red Deer,1,0,1,0,0,0,0,0,94.5,94.5,65194.92,0,132300.0,197494.91999999998
reactive,AB-036,pipeline_pump,Lloydminster,1,0,1,0,0,0,0,0,86.5,86.5,37168.65,0,82175.0,119343.65
reactive,AB-037,pumpjack,Peace River,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
reactive,AB-038,compressor,Grande Prairie,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
reactive,AB-039,pipeline_pump,Red Deer,1,0,1,0,0,0,0,0,68.7,68.7,35374.72,0,65265.0,100639.72
reactive,AB-040,pumpjack,Lloydminster,1,0,1,0,0,0,0,0,50.7,50.7,14219.03,0,32955.0,47174.03
reactive,AB-041,compressor,Peace River,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
reactive,AB-042,pipeline_pump,Grande Prairie,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
reactive,AB-043,pumpjack,Red Deer,1,0,1,0,0,0,0,0,77.6,77.6,21172.22,0,50439.99999999999,71612.22
reactive,AB-044,compressor,Lloydminster,1,0,1,0,0,0,0,0,132.4,132.4,37071.55,0,185360.0,222431.55
reactive,AB-045,pipeline_pump,Peace River,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
reactive,AB-046,pumpjack,Grande Prairie,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
reactive,AB-047,compressor,Red Deer,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
reactive,AB-048,pipeline_pump,Lloydminster,1,0,1,0,0,0,0,0,62.1,62.1,34223.19,0,58995.0,93218.19
reactive,AB-049,pumpjack,Peace River,1,0,1,0,0,0,0,0,68.2,68.2,19757.04,0,44330.0,64087.04
reactive,AB-050,compressor,Grande Prairie,1,0,1,0,0,0,0,0,127.0,127.0,38628.37,0,177800.0,216428.37
reactive,AB-051,pipeline_pump,Red Deer,1,0,1,0,0,0,0,0,65.7,65.7,25393.84,0,62415.0,87808.84
reactive,AB-052,pumpjack,Lloydminster,1,0,1,0,0,0,0,0,99.5,99.5,22044.91,0,64675.0,86719.91
reactive,AB-053,compressor,Peace River,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
reactive,AB-054,pipeline_pump,Grande Prairie,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
reactive,AB-055,pumpjack,Red Deer,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
reactive,AB-056,compressor,Lloydminster,1,0,1,0,0,0,0,0,126.6,126.6,50981.94,0,177240.0,228221.94
reactive,AB-057,pipeline_pump,Peace River,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
reactive,AB-058,pumpjack,Grande Prairie,1,0,1,0,0,0,0,0,77.2,77.2,17726.39,0,50180.0,67906.39
reactive,AB-059,compressor,Red Deer,1,0,1,0,0,0,0,0,121.6,121.6,60609.49,0,170240.0,230849.49
reactive,AB-060,pipeline_pump,Lloydminster,1,0,1,0,0,0,0,0,118.4,118.4,39963.18,0,112480.0,152443.18
reactive,AB-061,pumpjack,Peace River,1,0,1,0,0,0,0,0,64.7,64.7,13547.26,0,42055.0,55602.26
reactive,AB-062,compressor,Grande Prairie,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
reactive,AB-063,pipeline_pump,Red Deer,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
reactive,AB-064,pumpjack,Lloydminster,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
reactive,AB-065,compressor,Peace River,1,0,1,0,0,0,0,0,63.0,63.0,65672.48,0,88200.0,153872.47999999998
reactive,AB-066,pipeline_pump,Grande Prairie,1,0,1,0,0,0,0,0,95.6,95.6,37498.75,0,90820.0,128318.75
reactive,AB-067,pumpjack,Red Deer,1,0,1,0,0,0,0,0,90.3,90.3,23068.59,0,58695.0,81763.59
reactive,AB-068,compressor,Lloydminster,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
reactive,AB-069,pipeline_pump,Peace River,1,0,1,0,0,0,0,0,79.2,79.2,33313.18,0,75240.0,108553.18
reactive,AB-070,pumpjack,Grande Prairie,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
reactive,AB-071,compressor,Red Deer,1,0,1,0,0,0,0,0,107.0,107.0,37125.69,0,149800.0,186925.69
reactive,AB-072,pipeline_pump,Lloydminster,1,0,1,0,0,0,0,0,92.7,92.7,41479.2,0,88065.0,129544.2
reactive,AB-073,pumpjack,Peace River,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
reactive,AB-074,compressor,Grande Prairie,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
reactive,AB-075,pipeline_pump,Red Deer,1,0,1,0,0,0,0,0,97.6,97.6,34289.74,0,92720.0,127009.73999999999
reactive,AB-076,pumpjack,Lloydminster,1,0,1,0,0,0,0,0,93.1,93.1,25040.09,0,60514.99999999999,85555.09
reactive,AB-077,compressor,Peace River,1,0,1,0,0,0,0,0,113.2,113.2,55312.72,0,158480.0,213792.72
reactive,AB-078,pipeline_pump,Grande Prairie,1,0,1,0,0,0,0,0,125.7,125.7,24030.85,0,119415.0,143445.85
reactive,AB-079,pumpjack,Red Deer,1,0,1,0,0,0,0,0,105.5,105.5,19178.71,0,68575.0,87753.70999999999
reactive,AB-080,compressor,Lloydminster,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
fixed_90_day,AB-001,pumpjack,Peace River,1,0,1,1,0,1,0,4,47.3,51.3,19988.64,1600,33345.0,54933.64
fixed_90_day,AB-002,compressor,Grande Prairie,0,0,0,1,0,1,0,8,0.0,8.0,0.0,4000,11200.0,15200.0
fixed_90_day,AB-003,pipeline_pump,Red Deer,0,0,0,1,0,1,0,6,0.0,6.0,0.0,2400,5700.0,8100.0
fixed_90_day,AB-004,pumpjack,Lloydminster,1,0,1,1,0,1,0,4,60.1,64.1,18379.84,1600,41664.99999999999,61644.84
fixed_90_day,AB-005,compressor,Peace River,0,0,0,1,0,1,0,8,0.0,8.0,0.0,4000,11200.0,15200.0
fixed_90_day,AB-006,pipeline_pump,Grande Prairie,0,0,0,1,1,1,0,6,0.0,6.0,0.0,2400,5700.0,8100.0
fixed_90_day,AB-007,pumpjack,Red Deer,1,0,1,1,0,1,0,4,49.1,53.1,15000.52,1600,34515.0,51115.520000000004
fixed_90_day,AB-008,compressor,Lloydminster,1,0,1,1,0,1,0,8,133.1,141.1,43260.47,4000,197540.0,244800.47
fixed_90_day,AB-009,pipeline_pump,Peace River,0,0,0,1,0,1,0,6,0.0,6.0,0.0,2400,5700.0,8100.0
fixed_90_day,AB-010,pumpjack,Grande Prairie,1,0,1,1,0,0,1,4,44.1,48.1,17052.35,1600,31265.0,49917.35
fixed_90_day,AB-011,compressor,Red Deer,1,1,0,1,1,0,0,8,0.0,8.0,0.0,4000,11200.0,15200.0
fixed_90_day,AB-012,pipeline_pump,Lloydminster,1,0,1,1,1,1,0,6,68.2,74.2,39541.71,2400,70490.0,112431.70999999999
fixed_90_day,AB-013,pumpjack,Peace River,1,1,0,1,0,0,0,4,0.0,4.0,0.0,1600,2600.0,4200.0
fixed_90_day,AB-014,compressor,Grande Prairie,1,0,1,1,0,1,0,8,88.4,96.4,45792.98,4000,134960.0,184752.98
fixed_90_day,AB-015,pipeline_pump,Red Deer,0,0,0,1,0,1,0,6,0.0,6.0,0.0,2400,5700.0,8100.0
fixed_90_day,AB-016,pumpjack,Lloydminster,1,0,1,1,0,1,0,4,50.6,54.6,16803.4,1600,35490.0,53893.4
fixed_90_day,AB-017,compressor,Peace River,0,0,0,1,1,1,0,8,0.0,8.0,0.0,4000,11200.0,15200.0
fixed_90_day,AB-018,pipeline_pump,Grande Prairie,0,0,0,1,0,1,0,6,0.0,6.0,0.0,2400,5700.0,8100.0
fixed_90_day,AB-019,pumpjack,Red Deer,0,0,0,1,0,1,0,4,0.0,4.0,0.0,1600,2600.0,4200.0
fixed_90_day,AB-020,compressor,Lloydminster,0,0,0,1,1,1,0,8,0.0,8.0,0.0,4000,11200.0,15200.0
fixed_90_day,AB-021,pipeline_pump,Peace River,1,1,0,1,0,0,0,6,0.0,6.0,0.0,2400,5700.0,8100.0
fixed_90_day,AB-022,pumpjack,Grande Prairie,0,0,0,1,1,1,0,4,0.0,4.0,0.0,1600,2600.0,4200.0
fixed_90_day,AB-023,compressor,Red Deer,1,1,0,1,0,0,0,8,0.0,8.0,0.0,4000,11200.0,15200.0
fixed_90_day,AB-024,pipeline_pump,Lloydminster,0,0,0,1,0,1,0,6,0.0,6.0,0.0,2400,5700.0,8100.0
fixed_90_day,AB-025,pumpjack,Peace River,0,0,0,1,0,1,0,4,0.0,4.0,0.0,1600,2600.0,4200.0
fixed_90_day,AB-026,compressor,Grande Prairie,0,0,0,1,0,1,0,8,0.0,8.0,0.0,4000,11200.0,15200.0
fixed_90_day,AB-027,pipeline_pump,Red Deer,1,0,1,1,0,1,0,6,107.4,113.4,29211.22,2400,107730.0,139341.22
fixed_90_day,AB-028,pumpjack,Lloydminster,1,0,1,1,1,1,0,4,47.1,51.1,21826.38,1600,33215.0,56641.380000000005
fixed_90_day,AB-029,compressor,Peace River,1,0,1,1,0,1,0,8,59.9,67.9,61334.12,4000,95060.00000000001,160394.12000000002
fixed_90_day,AB-030,pipeline_pump,Grande Prairie,0,0,0,1,1,1,0,6,0.0,6.0,0.0,2400,5700.0,8100.0
fixed_90_day,AB-031,pumpjack,Red Deer,0,0,0,1,0,1,0,4,0.0,4.0,0.0,1600,2600.0,4200.0
fixed_90_day,AB-032,compressor,Lloydminster,1,0,1,1,0,1,0,8,66.0,74.0,44145.34,4000,103600.0,151745.34
fixed_90_day,AB-033,pipeline_pump,Peace River,1,1,0,1,1,0,0,6,0.0,6.0,0.0,2400,5700.0,8100.0
fixed_90_day,AB-034,pumpjack,Grande Prairie,0,0,0,1,1,1,0,4,0.0,4.0,0.0,1600,2600.0,4200.0
fixed_90_day,AB-035,compressor,Red Deer,1,0,1,1,0,1,0,8,94.5,102.5,65194.92,4000,143500.0,212694.91999999998
fixed_90_day,AB-036,pipeline_pump,Lloydminster,1,0,1,1,1,1,0,6,86.5,92.5,37168.65,2400,87875.0,127443.65
fixed_90_day,AB-037,pumpjack,Peace River,0,0,0,1,0,1,0,4,0.0,4.0,0.0,1600,2600.0,4200.0
fixed_90_day,AB-038,compressor,Grande Prairie,0,0,0,1,0,1,0,8,0.0,8.0,0.0,4000,11200.0,15200.0
fixed_90_day,AB-039,pipeline_pump,Red Deer,1,1,0,1,1,1,0,6,0.0,6.0,0.0,2400,5700.0,8100.0
fixed_90_day,AB-040,pumpjack,Lloydminster,1,1,0,1,1,0,0,4,0.0,4.0,0.0,1600,2600.0,4200.0
fixed_90_day,AB-041,compressor,Peace River,0,0,0,1,0,1,0,8,0.0,8.0,0.0,4000,11200.0,15200.0
fixed_90_day,AB-042,pipeline_pump,Grande Prairie,0,0,0,1,1,1,0,6,0.0,6.0,0.0,2400,5700.0,8100.0
fixed_90_day,AB-043,pumpjack,Red Deer,1,0,1,1,0,1,0,4,77.6,81.6,21172.22,1600,53039.99999999999,75812.22
fixed_90_day,AB-044,compressor,Lloydminster,1,0,1,1,1,1,0,8,132.4,140.4,37071.55,4000,196560.0,237631.55
fixed_90_day,AB-045,pipeline_pump,Peace River,0,0,0,1,1,1,0,6,0.0,6.0,0.0,2400,5700.0,8100.0
fixed_90_day,AB-046,pumpjack,Grande Prairie,0,0,0,1,0,1,0,4,0.0,4.0,0.0,1600,2600.0,4200.0
fixed_90_day,AB-047,compressor,Red Deer,0,0,0,1,1,1,0,8,0.0,8.0,0.0,4000,11200.0,15200.0
fixed_90_day,AB-048,pipeline_pump,Lloydminster,1,0,1,1,0,1,0,6,62.1,68.1,34223.19,2400,64694.99999999999,101318.19
fixed_90_day,AB-049,pumpjack,Peace River,1,1,0,1,0,0,0,4,0.0,4.0,0.0,1600,2600.0,4200.0
fixed_90_day,AB-050,compressor,Grande Prairie,1,0,1,1,0,1,0,8,127.0,135.0,38628.37,4000,189000.0,231628.37
fixed_90_day,AB-051,pipeline_pump,Red Deer,1,0,1,1,0,1,0,6,65.7,71.7,25393.84,2400,68115.0,95908.84
fixed_90_day,AB-052,pumpjack,Lloydminster,1,0,1,1,0,1,0,4,99.5,103.5,22044.91,1600,67275.0,90919.91
fixed_90_day,AB-053,compressor,Peace River,0,0,0,1,1,1,0,8,0.0,8.0,0.0,4000,11200.0,15200.0
fixed_90_day,AB-054,pipeline_pump,Grande Prairie,0,0,0,1,0,1,0,6,0.0,6.0,0.0,2400,5700.0,8100.0
fixed_90_day,AB-055,pumpjack,Red Deer,0,0,0,1,0,1,0,4,0.0,4.0,0.0,1600,2600.0,4200.0
fixed_90_day,AB-056,compressor,Lloydminster,1,1,0,1,1,0,0,8,0.0,8.0,0.0,4000,11200.0,15200.0
fixed_90_day,AB-057,pipeline_pump,Peace River,0,0,0,1,1,1,0,6,0.0,6.0,0.0,2400,5700.0,8100.0
fixed_90_day,AB-058,pumpjack,Grande Prairie,1,0,1,1,1,1,0,4,77.2,81.2,17726.39,1600,52780.0,72106.39
fixed_90_day,AB-059,compressor,Red Deer,1,0,1,1,1,1,0,8,121.6,129.6,60609.49,4000,181440.0,246049.49
fixed_90_day,AB-060,pipeline_pump,Lloydminster,1,0,1,1,0,1,0,6,118.4,124.4,39963.18,2400,118180.0,160543.18
fixed_90_day,AB-061,pumpjack,Peace River,1,0,1,1,0,1,0,4,64.7,68.7,13547.26,1600,44655.0,59802.26
fixed_90_day,AB-062,compressor,Grande Prairie,0,0,0,1,1,1,0,8,0.0,8.0,0.0,4000,11200.0,15200.0
fixed_90_day,AB-063,pipeline_pump,Red Deer,0,0,0,1,0,1,0,6,0.0,6.0,0.0,2400,5700.0,8100.0
fixed_90_day,AB-064,pumpjack,Lloydminster,0,0,0,1,0,1,0,4,0.0,4.0,0.0,1600,2600.0,4200.0
fixed_90_day,AB-065,compressor,Peace River,1,0,1,1,0,1,0,8,63.0,71.0,65672.48,4000,99400.0,169072.47999999998
fixed_90_day,AB-066,pipeline_pump,Grande Prairie,1,1,0,1,0,0,0,6,0.0,6.0,0.0,2400,5700.0,8100.0
fixed_90_day,AB-067,pumpjack,Red Deer,1,1,0,1,0,0,0,4,0.0,4.0,0.0,1600,2600.0,4200.0
fixed_90_day,AB-068,compressor,Lloydminster,0,0,0,1,0,1,0,8,0.0,8.0,0.0,4000,11200.0,15200.0
fixed_90_day,AB-069,pipeline_pump,Peace River,1,0,1,1,0,1,0,6,79.2,85.2,33313.18,2400,80940.0,116653.18
fixed_90_day,AB-070,pumpjack,Grande Prairie,0,0,0,1,0,1,0,4,0.0,4.0,0.0,1600,2600.0,4200.0
fixed_90_day,AB-071,compressor,Red Deer,1,0,1,1,1,1,0,8,107.0,115.0,37125.69,4000,161000.0,202125.69
fixed_90_day,AB-072,pipeline_pump,Lloydminster,1,1,0,1,1,0,0,6,0.0,6.0,0.0,2400,5700.0,8100.0
fixed_90_day,AB-073,pumpjack,Peace River,0,0,0,1,0,1,0,4,0.0,4.0,0.0,1600,2600.0,4200.0
fixed_90_day,AB-074,compressor,Grande Prairie,0,0,0,1,0,1,0,8,0.0,8.0,0.0,4000,11200.0,15200.0
fixed_90_day,AB-075,pipeline_pump,Red Deer,1,0,1,2,0,2,0,12,97.6,109.6,34289.74,4800,104120.0,143209.74
fixed_90_day,AB-076,pumpjack,Lloydminster,1,0,1,1,0,1,0,4,93.1,97.1,25040.09,1600,63114.99999999999,89755.09
fixed_90_day,AB-077,compressor,Peace River,1,0,1,1,0,1,0,8,113.2,121.2,55312.72,4000,169680.0,228992.72
fixed_90_day,AB-078,pipeline_pump,Grande Prairie,1,1,0,1,0,0,0,6,0.0,6.0,0.0,2400,5700.0,8100.0
fixed_90_day,AB-079,pumpjack,Red Deer,1,0,1,1,0,1,0,4,105.5,109.5,19178.71,1600,71175.0,91953.70999999999
fixed_90_day,AB-080,compressor,Lloydminster,0,0,0,1,0,1,0,8,0.0,8.0,0.0,4000,11200.0,15200.0
predictive,AB-001,pumpjack,Peace River,1,1,0,1,0,0,0,4,0.0,4.0,0.0,1600,2600.0,4200.0
predictive,AB-002,compressor,Grande Prairie,0,0,0,1,0,1,0,8,0.0,8.0,0.0,4000,11200.0,15200.0
predictive,AB-003,pipeline_pump,Red Deer,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
predictive,AB-004,pumpjack,Lloydminster,1,1,0,1,0,0,0,4,0.0,4.0,0.0,1600,2600.0,4200.0
predictive,AB-005,compressor,Peace River,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
predictive,AB-006,pipeline_pump,Grande Prairie,0,0,0,1,0,1,0,6,0.0,6.0,0.0,2400,5700.0,8100.0
predictive,AB-007,pumpjack,Red Deer,1,1,0,1,0,0,0,4,0.0,4.0,0.0,1600,2600.0,4200.0
predictive,AB-008,compressor,Lloydminster,1,1,0,1,0,0,0,8,0.0,8.0,0.0,4000,11200.0,15200.0
predictive,AB-009,pipeline_pump,Peace River,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
predictive,AB-010,pumpjack,Grande Prairie,1,0,1,1,0,0,1,4,44.1,48.1,17052.35,1600,31265.0,49917.35
predictive,AB-011,compressor,Red Deer,1,1,0,1,0,0,0,8,0.0,8.0,0.0,4000,11200.0,15200.0
predictive,AB-012,pipeline_pump,Lloydminster,1,0,1,0,0,0,0,0,68.2,68.2,39541.71,0,64790.0,104331.70999999999
predictive,AB-013,pumpjack,Peace River,1,1,0,1,0,0,0,4,0.0,4.0,0.0,1600,2600.0,4200.0
predictive,AB-014,compressor,Grande Prairie,1,1,0,1,0,0,0,8,0.0,8.0,0.0,4000,11200.0,15200.0
predictive,AB-015,pipeline_pump,Red Deer,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
predictive,AB-016,pumpjack,Lloydminster,1,1,0,1,0,0,0,4,0.0,4.0,0.0,1600,2600.0,4200.0
predictive,AB-017,compressor,Peace River,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
predictive,AB-018,pipeline_pump,Grande Prairie,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
predictive,AB-019,pumpjack,Red Deer,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
predictive,AB-020,compressor,Lloydminster,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
predictive,AB-021,pipeline_pump,Peace River,1,1,0,1,0,0,0,6,0.0,6.0,0.0,2400,5700.0,8100.0
predictive,AB-022,pumpjack,Grande Prairie,0,0,0,1,0,1,0,4,0.0,4.0,0.0,1600,2600.0,4200.0
predictive,AB-023,compressor,Red Deer,1,1,0,1,0,0,0,8,0.0,8.0,0.0,4000,11200.0,15200.0
predictive,AB-024,pipeline_pump,Lloydminster,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
predictive,AB-025,pumpjack,Peace River,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
predictive,AB-026,compressor,Grande Prairie,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
predictive,AB-027,pipeline_pump,Red Deer,1,1,0,1,0,0,0,6,0.0,6.0,0.0,2400,5700.0,8100.0
predictive,AB-028,pumpjack,Lloydminster,1,0,1,1,0,0,1,4,47.1,51.1,21826.38,1600,33215.0,56641.380000000005
predictive,AB-029,compressor,Peace River,1,0,1,0,0,0,0,0,59.9,59.9,61334.12,0,83860.0,145194.12
predictive,AB-030,pipeline_pump,Grande Prairie,0,0,0,1,0,1,0,6,0.0,6.0,0.0,2400,5700.0,8100.0
predictive,AB-031,pumpjack,Red Deer,0,0,0,1,0,1,0,4,0.0,4.0,0.0,1600,2600.0,4200.0
predictive,AB-032,compressor,Lloydminster,1,1,0,1,0,0,0,8,0.0,8.0,0.0,4000,11200.0,15200.0
predictive,AB-033,pipeline_pump,Peace River,1,1,0,1,0,0,0,6,0.0,6.0,0.0,2400,5700.0,8100.0
predictive,AB-034,pumpjack,Grande Prairie,0,0,0,1,0,1,0,4,0.0,4.0,0.0,1600,2600.0,4200.0
predictive,AB-035,compressor,Red Deer,1,0,1,1,0,0,1,8,94.5,102.5,65194.92,4000,143500.0,212694.91999999998
predictive,AB-036,pipeline_pump,Lloydminster,1,1,0,1,0,0,0,6,0.0,6.0,0.0,2400,5700.0,8100.0
predictive,AB-037,pumpjack,Peace River,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
predictive,AB-038,compressor,Grande Prairie,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
predictive,AB-039,pipeline_pump,Red Deer,1,1,0,1,0,0,0,6,0.0,6.0,0.0,2400,5700.0,8100.0
predictive,AB-040,pumpjack,Lloydminster,1,1,0,1,0,0,0,4,0.0,4.0,0.0,1600,2600.0,4200.0
predictive,AB-041,compressor,Peace River,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
predictive,AB-042,pipeline_pump,Grande Prairie,0,0,0,1,0,1,0,6,0.0,6.0,0.0,2400,5700.0,8100.0
predictive,AB-043,pumpjack,Red Deer,1,1,0,1,0,0,0,4,0.0,4.0,0.0,1600,2600.0,4200.0
predictive,AB-044,compressor,Lloydminster,1,1,0,1,0,0,0,8,0.0,8.0,0.0,4000,11200.0,15200.0
predictive,AB-045,pipeline_pump,Peace River,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
predictive,AB-046,pumpjack,Grande Prairie,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
predictive,AB-047,compressor,Red Deer,0,0,0,1,0,1,0,8,0.0,8.0,0.0,4000,11200.0,15200.0
predictive,AB-048,pipeline_pump,Lloydminster,1,0,1,0,0,0,0,0,62.1,62.1,34223.19,0,58995.0,93218.19
predictive,AB-049,pumpjack,Peace River,1,1,0,1,0,0,0,4,0.0,4.0,0.0,1600,2600.0,4200.0
predictive,AB-050,compressor,Grande Prairie,1,1,0,1,0,0,0,8,0.0,8.0,0.0,4000,11200.0,15200.0
predictive,AB-051,pipeline_pump,Red Deer,1,1,0,1,0,0,0,6,0.0,6.0,0.0,2400,5700.0,8100.0
predictive,AB-052,pumpjack,Lloydminster,1,1,0,1,0,0,0,4,0.0,4.0,0.0,1600,2600.0,4200.0
predictive,AB-053,compressor,Peace River,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
predictive,AB-054,pipeline_pump,Grande Prairie,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
predictive,AB-055,pumpjack,Red Deer,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
